Event Index Number,Ho et al. origin time,Reproduced longitude,Reproduced latitude,Reproduced depth (km),Origin time without near source,Latitude without near source,Longitude without near source,Depth without near source (km),Origin time with STAR,Latitude with STAR,Longitude with STAR,Depth with STAR (km)
1,2001-12-01T22:29:50.577004,160.92788144948278,-75.09811729,24.179688,2001-12-01T22:29:50.319754,-75.07509813,160.82828382163044,24.53125,,,,
2,2001-12-02T03:53:59.703929,161.20231207509562,-75.26336028,-4.648438,2001-12-02T03:53:59.821473,-75.28784357,161.21355830609028,-4.296875,,,,
3,2001-12-03T03:02:28.250918,161.16915618979988,-75.09120949,-4.648438,2001-12-03T03:02:28.574191,-75.18379153,160.88509503901898,120.859375,,,,
4,2001-12-03T08:16:32.335760,160.6572635677807,-75.57396829,141.601562,,,,,,,,
5,2001-12-04T03:15:42.097855,160.8256328358783,-75.17379776,-4.648438,2001-12-04T03:15:42.434013,-75.3954419,160.29678354961246,143.359375,,,,
6,2001-12-05T02:27:51.274041,161.05849408378398,-75.2014357,-4.824219,2001-12-05T02:27:51.167269,-75.18535021,161.11654484718846,-4.296875,,,,
7,2001-12-06T12:03:29.697942,161.19172164024582,-74.94279384,-4.648438,2001-12-06T12:03:29.823045,-74.89465162,161.12592227281485,82.1875,,,,
8,2001-12-09T06:03:26.594844,160.90906984235696,-75.28482678,-4.648438,2001-12-09T06:03:26.492912,-75.1899149,161.16879879476895,-2.890625,,,,
9,2001-12-09T18:05:16.635301,160.80540466856158,-75.36052902,-4.648438,2001-12-09T18:05:16.794254,-75.61998524,160.69776338225873,134.921875,,,,
10,2001-12-10T06:55:57.153804,160.97834157494006,-75.07671246,71.113281,2001-12-10T06:55:56.570654,-75.08434774,160.93186421775204,86.40625,,,,
11,2001-12-11T08:39:52.092507,160.6705368981421,-75.32973596,-4.648438,2001-12-11T08:39:52.720167,-75.32573258,160.5726711346941,-4.296875,,,,
12,2001-12-11T09:25:53.186997,160.87668133385796,-75.30317724,-4.824219,2001-12-11T09:25:54.023046,-75.4256418,160.8490739367375,125.078125,,,,
13,2001-12-13T11:06:53.684780,160.37109182212114,-75.22726146,-4.648438,2001-12-13T11:06:54.403842,-75.21088801,160.55532660419482,-4.296875,,,,
14,2001-12-14T18:48:12.203592,161.18388200388944,-75.13481099,-4.296875,2001-12-14T18:48:12.353550,-75.00369633,161.73003538335217,24.53125,,,,
15,2001-12-16T20:59:29.972033,160.9651035496151,-75.09201031,-4.648438,2001-12-16T20:59:29.690059,-75.11496894,161.06502899059984,115.9375,,,,
16,2001-12-18T18:22:45.181632,161.15297751141813,-75.37668033,-4.296875,,,,,,,,
17,2001-12-19T13:33:50.922391,161.1163071326363,-75.21825637,-4.648438,2001-12-19T13:33:51.790119,-75.22361035,161.12375510283624,-4.296875,,,,
18,2001-12-19T20:04:15.228454,161.08111539602643,-75.3751774,-4.648438,,,,,,,,
19,2001-12-20T02:40:29.369192,161.0895367,-75.28178828,-4.648438,2001-12-20T02:40:28.861797,-75.2572992,161.07850330473335,-4.296875,,,,
20,2001-12-20T13:00:06.859643,161.17446829466627,-75.16925027,81.660156,2001-12-20T13:00:06.235040,-75.20676345,161.14630286284915,-4.296875,,,,
21,2001-12-20T21:41:04.888332,161.18388200388944,-75.13481099,-2.890625,2001-12-20T21:41:06.140219,-75.58820277,160.23052113882696,162.34375,,,,
22,2001-12-21T01:08:50.732974,160.90887603075151,-75.46855816,120.859375,,,,,,,,
23,2001-12-22T00:05:07.960165,161.0440738433926,-75.15781967,84.121094,2001-12-22T00:05:08.029946,-75.3928925,160.4787529427248,139.140625,,,,
24,2001-12-23T07:21:55.999935,160.74103895290395,-75.36428428,-4.648438,2001-12-23T07:21:56.821920,-75.38735654,160.84249005633058,-4.296875,,,,
25,2001-12-24T12:32:22.657364,160.56839318160678,-75.16959102,69.882812,2001-12-24T12:33:07.678215,-77.24016811,158.31125356284312,16.796875,,,,
26,2001-12-27T09:14:33.415894,160.7631007889126,-75.08574086,64.082031,2001-12-27T09:14:33.785877,-74.97569003,160.8750910713101,44.921875,,,,
27,2002-01-13T17:51:14.171358,160.69897390332073,-75.58705198,145.117188,,,,,,,,
28,2002-01-14T09:22:58.772969,165.17542268202155,-76.3821245,174.296875,2002-01-14T09:23:36.780788,-76.90196586,157.04853703215505,16.09375,,,,
29,2002-01-14T17:01:26.613840,160.6624272595465,-75.44226284,57.226562,2002-01-14T17:01:28.398605,-75.39487024,160.71350550045202,40.703125,,,,
30,2002-01-20T07:14:11.171752,160.13839499217445,-75.53731272,159.882812,,,,,,,,
31,2002-01-22T19:23:26.015809,161.1625565644424,-74.88851439,-4.296875,2002-01-22T19:23:23.926936,-74.95569122,160.75792282032415,145.46875,,,,
32,2002-01-26T13:35:32.425496,160.95133151908453,-74.83195566,70.234375,2002-01-26T13:35:30.777429,-74.91278372,160.700609,120.15625,,,,
33,2002-03-06T04:41:39.858038,159.86413973943934,-75.2420463,125.078125,,,,,,,,
34,2002-11-15T13:01:19.304167,162.0587893908849,-74.94732949,78.671875,2002-11-15T13:01:18.846893,-75.19787607,162.14785231205892,147.578125,,,,
35,2002-11-15T14:54:46.092301,162.01411535248246,-75.07453202,68.828125,2002-11-15T14:54:46.104887,-75.14032458,162.0176601356518,69.53125,,,,
36,2002-11-19T13:00:56.884876,160.8777545041481,-75.17843014,-4.648438,2002-11-19T13:00:56.486055,-75.17618443,161.01213478577668,-4.296875,,,,
37,2002-11-20T11:36:37.512499,162.35893444673076,-75.02835313,1.328125,2002-11-20T11:36:38.834748,-74.94562657,162.37466350452024,18.90625,,,,
38,2002-11-21T12:18:02.522605,160.55669978438303,-75.26293407,-4.648438,2002-11-21T12:18:03.296252,-75.09654424,160.85740038341928,25.9375,,,,
39,2002-11-21T15:11:45.760554,161.2962406580005,-75.28087181,125.429688,,,,,,,,
40,2002-11-21T15:29:52.531560,161.3939950184911,-75.28456137,-0.078125,,,,,,,,
41,2002-11-23T02:48:56.398916,161.0978508,-75.18841774,72.695312,2002-11-23T02:48:57.044378,-75.19446744,161.2210853,5.546875,,,,
42,2002-11-24T16:23:45.174692,161.37161377655113,-75.30143586,6.953125,,,,,,,,
43,2002-11-27T02:35:35.902200,161.25834822122016,-75.15540615,-4.648438,2002-11-27T02:35:35.788834,-75.14389586,161.28810452716223,-4.296875,,,,
44,2002-11-27T14:55:30.863571,161.1686786202914,-75.22282143,-4.648438,2002-11-27T14:55:30.880663,-75.27872041,160.9467770385371,114.179688,,,,
45,2002-11-28T00:41:32.636291,160.96846915840956,-75.32771443,-4.648438,2002-11-28T00:41:32.588159,-75.33383681,161.0928327503939,-4.296875,,,,
46,2002-11-28T01:46:39.678744,161.17954873127363,-75.3460432,-4.648438,2002-11-28T01:46:39.788972,-75.3460432,161.17954873127363,-4.648438,,,,
47,2002-11-28T02:31:24.353105,161.84541826325156,-75.11653461,11.171875,2002-11-28T02:31:22.820131,-75.12278839,161.80850366302664,4.84375,,,,
48,2002-11-28T11:05:12.752879,161.6975715573582,-75.14151354,39.296875,,,,,,,,
49,2002-11-29T12:07:32.204651,161.28103208742675,-75.2372639,78.671875,2002-11-29T12:07:32.682210,-75.32925292,161.04008462661264,101.171875,,,,
50,2002-11-29T17:49:51.214754,160.94894079887737,-75.36368674,-4.648438,2002-11-29T17:49:51.348660,-75.37671152,160.9903081582666,-4.648438,,,,
51,2002-11-29T18:26:56.908646,160.98683643982716,-75.35757265,-4.648438,,,,,,,,
52,2002-11-29T22:12:18.704276,161.55795732599074,-75.05925545,88.164062,2002-11-29T22:12:19.030613,-75.24630525,161.38604638795752,129.296875,,,,
53,2002-11-30T10:39:35.614909,161.20622498080715,-75.11796133,-4.296875,2002-11-30T10:39:31.932790,-75.50677396,161.24396476772216,172.1875,,,,
54,2002-11-30T10:56:49.973223,161.5845941545826,-75.23977871,12.929688,,,,,,,,
55,2002-11-30T11:16:26.029152,161.58799649714578,-75.22599406,15.390625,,,,,,,,
56,2002-11-30T18:30:27.559312,161.5051274097079,-75.20016509,1.328125,,,,,,,,
57,2002-11-30T19:19:26.851535,161.69418090581928,-75.26780031,45.976562,,,,,,,,
58,2002-12-01T16:08:18.194954,161.60069289575662,-75.13795697,-4.648438,2002-12-01T16:08:17.831252,-75.11883844,161.59648453472678,-4.648438,,,,
59,2002-12-02T04:57:19.511679,160.95140257435492,-75.23203591,-4.648438,2002-12-02T04:57:20.137207,-75.07809653,161.28781076811092,35.78125,,,,
60,2002-12-08T06:04:52.508291,161.2210570210647,-75.55657173,-4.648438,2002-12-08T06:04:51.912278,-75.19041649,161.72156851906172,7.65625,,,,
61,2002-12-10T08:45:52.301513,161.53199774979242,-75.05702072,-4.648438,2002-12-10T08:45:52.526394,-74.97969265,161.55984124356493,87.109375,,,,
62,2002-12-11T05:25:04.414517,161.16843657355417,-75.28864156,64.257812,2002-12-11T05:25:04.373239,-75.36752742,161.0471644843228,-4.296875,,,,
63,2002-12-14T05:04:45.950635,160.85983927108808,-75.29933819,-4.648438,2002-12-14T05:04:45.920247,-75.30321703,160.95760480540918,-4.296875,,,,
64,2002-12-15T01:02:07.840704,161.07036988590175,-75.3177674,-4.648438,2002-12-15T01:02:46.986016,-76.55708759,158.7243627572049,27.34375,,,,
65,2002-12-15T04:12:14.091883,161.2663104252336,-75.32530044,-4.648438,2002-12-15T04:12:14.340502,-75.32155514,161.16831472742356,-4.296875,,,,
66,2002-12-16T06:35:45.898950,161.3725135,-75.02443025,78.320312,2002-12-16T06:35:46.060699,-75.09330992,161.35466406410293,-4.296875,,,,
67,2002-12-16T07:21:28.195414,161.14613186843536,-75.23967117,64.960938,2002-12-16T07:21:28.083170,-75.30924864,161.24366906639588,-4.296875,,,,
68,2002-12-16T08:35:46.835198,161.29368093716303,-75.52510047,-4.648438,2002-12-16T08:35:45.759238,-75.50073768,160.95396227791144,128.59375,,,,
69,2002-12-16T20:42:17.196919,161.07527549133127,-75.2052591,60.742188,2002-12-16T20:42:17.301745,-75.47611067,160.7791973554273,132.109375,,,,
70,2002-12-17T00:54:48.355993,161.17954873127363,-75.3460432,-4.648438,2002-12-17T00:54:48.619252,-75.43488817,160.9551875648428,118.046875,,,,
71,2002-12-17T02:47:32.946237,161.22858819022517,-75.26563452,62.148438,2002-12-17T02:47:32.690843,-75.35068296,161.07002515124861,-4.296875,,,,
72,2002-12-17T03:35:52.169794,161.06325327674398,-75.27949775,-4.648438,2002-12-17T03:35:52.311546,-75.30470018,161.19096273968574,-4.296875,,,,
73,2002-12-17T07:40:23.023264,161.15344673702882,-75.27793487,55.820312,2002-12-17T07:40:21.309815,-75.33065067,161.27386866082213,-4.296875,,,,
74,2002-12-17T10:32:18.305344,160.99135838673536,-75.31087937,-4.648438,2002-12-17T10:32:18.573829,-75.31241057,161.06289329916726,-4.296875,,,,
