Event Index Number,Reproduced depth (km),Depth without near source (km),,Abs. Diff. in Depth,Is Abs. Diff <= 20 km?,,Ho etal IDE Event,Wei IDE Event,Ho etal Shallow Event,Wei Shallow Event,,
1,24.179688,24.53125,,0.351562,YES,,,,,,,
2,-4.648438,-4.296875,,0.351563,YES,,,,YES,YES,,
3,-4.648438,120.859375,,125.507813,,,,YES,YES,,Original shallow event switched to IDE event,
5,-4.648438,143.359375,,148.007813,,,,YES,YES,,Original shallow event switched to IDE event,
6,-4.824219,-4.296875,,0.527344,YES,,,,YES,YES,,
7,-4.648438,82.1875,,86.835938,,,,YES,YES,,Original shallow event switched to IDE event,
8,-4.648438,-2.890625,,1.757813,YES,,,,YES,YES,,
9,-4.648438,134.921875,,139.570313,,,,YES,YES,,Original shallow event switched to IDE event,
10,71.113281,86.40625,,15.292969,YES,,YES,YES,,,,
11,-4.648438,-4.296875,,0.351563,YES,,,,YES,YES,,
12,-4.824219,125.078125,,129.902344,,,,YES,YES,,Original shallow event switched to IDE event,
13,-4.648438,-4.296875,,0.351563,YES,,,,YES,YES,,
14,-4.296875,24.53125,,28.828125,,,,,YES,,,
15,-4.648438,115.9375,,120.585938,,,,YES,YES,,Original shallow event switched to IDE event,
17,-4.648438,-4.296875,,0.351563,YES,,,,YES,YES,,
19,-4.648438,-4.296875,,0.351563,YES,,,,YES,YES,,
20,81.660156,-4.296875,,85.957031,,,YES,,,YES,Original IDE swithed to shallow event,Original IDE swithed to shallow event
21,-2.890625,162.34375,,165.234375,,,,YES,YES,,Original shallow event switched to IDE event,
23,84.121094,139.140625,,55.019531,,,YES,YES,,,,
24,-4.648438,-4.296875,,0.351563,YES,,,,YES,YES,,
25,69.882812,16.796875,,53.085937,,,,,,YES,,
26,64.082031,44.921875,,19.160156,YES,,,,,,,
28,174.296875,16.09375,,158.203125,,,YES,,,YES,Original IDE swithed to shallow event,
29,57.226562,40.703125,,16.523437,YES,,,,,,,
31,-4.296875,145.46875,,149.765625,,,,YES,YES,,Original shallow event switched to IDE event,
32,70.234375,120.15625,,49.921875,,,YES,YES,,,,
34,78.671875,147.578125,,68.90625,,,YES,YES,,,,
35,68.828125,69.53125,,0.703125,YES,,,,,,,
36,-4.648438,-4.296875,,0.351563,YES,,,,YES,YES,,
37,1.328125,18.90625,,17.578125,YES,,,,YES,YES,,
38,-4.648438,25.9375,,30.585938,,,,,YES,,,
41,72.695312,5.546875,,67.148437,,,YES,,,YES,Original IDE swithed to shallow event,
43,-4.648438,-4.296875,,0.351563,YES,,,,YES,YES,,
44,-4.648438,114.179688,,118.828126,,,,YES,YES,,Original shallow event switched to IDE event,
45,-4.648438,-4.296875,,0.351563,YES,,,,YES,YES,,
46,-4.648438,-4.648438,,0,YES,,,,YES,YES,,
47,11.171875,4.84375,,6.328125,YES,,,,YES,YES,,
49,78.671875,101.171875,,22.5,,,YES,YES,,,,
50,-4.648438,-4.648438,,0,YES,,,,YES,YES,,
52,88.164062,129.296875,,41.132813,,,YES,YES,,,,
53,-4.296875,172.1875,,176.484375,,,,YES,YES,,Original shallow event switched to IDE event,
58,-4.648438,-4.648438,,0,YES,,,,YES,YES,,
59,-4.648438,35.78125,,40.429688,,,,,YES,,,
