Event Index Number,Reproduced depth (km),Depth with STAR (km),,Abs. Diff. in Depth,Is Abs. Diff <= 20 km?,,Ho etal IDE Event,Wei IDE Event,Ho etal Shallow Event,Wei Shallow Event,
228,-4.912109,49.316406,,54.228515,,,,,YES,,
229,-4.824219,6.953125,,11.777344,YES,,,,YES,YES,
232,-4.912109,-4.912109,,0,YES,,,,YES,YES,
265,1.855469,-2.011719,,3.867188,YES,,,,YES,YES,
266,0.273438,0.273438,,0,YES,,,,YES,YES,
267,0.449219,-1.220703,,1.669922,YES,,,,YES,YES,
268,0.009766,0.888672,,0.878906,YES,,,,YES,YES,
269,58.632812,55.117188,,3.515624,YES,,,,,,
271,1.152344,1.943359,,0.791015,YES,,,,YES,YES,
272,27.695312,29.101562,,1.40625,YES,,,,,,
273,-4.824219,45.097656,,49.921875,,,,,YES,,
274,-4.912109,-4.824219,,0.08789,YES,,,,YES,YES,
275,-4.824219,-4.824219,,0,YES,,,,YES,YES,
276,27.519531,-3.505859,,31.02539,,,,,,YES,
277,-4.824219,-4.912109,,0.08789,YES,,,,YES,YES,
281,31.914062,-4.824219,,36.738281,,,,,,YES,
282,2.998047,2.998047,,0,YES,,,,YES,YES,
283,-4.648438,-4.648438,,0,YES,,,,YES,YES,
284,1.943359,22.246094,,20.302735,,,,,YES,,
285,46.503906,-4.824219,,51.328125,,,,,,YES,
286,-4.824219,1.152344,,5.976563,YES,,,,YES,YES,
287,-0.605469,-4.912109,,4.30664,YES,,,,YES,YES,
288,-0.429688,14.863281,,15.292969,YES,,,,YES,YES,
289,-0.341797,-4.956055,,4.614258,YES,,,,YES,YES,
290,-1.835938,12.050781,,13.886719,YES,,,,YES,YES,
291,-4.824219,47.382812,,52.207031,,,,,YES,,
292,-4.824219,-4.912109,,0.08789,YES,,,,YES,YES,
293,2.207031,42.285156,,40.078125,,,,,YES,,
294,0.405273,0.493164,,0.087891,YES,,,,YES,YES,
295,-1.660156,-0.913086,,0.74707,YES,,,,YES,YES,
296,56.347656,57.578125,,1.230469,YES,,,,,,
297,-1.791992,-1.748047,,0.043945,YES,,,,YES,YES,
298,-3.945312,51.074219,,55.019531,,,,,YES,,
299,-4.648438,40.175781,,44.824219,,,,,YES,,
300,-4.824219,-4.824219,,0,YES,,,,YES,YES,
301,-0.166016,-0.517578,,0.351562,YES,,,,YES,YES,
302,45.449219,-4.912109,,50.361328,,,,,,YES,
303,45.800781,-4.824219,,50.625,,,,,,YES,
304,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
305,1.855469,1.064453,,0.791016,YES,,,,YES,YES,
307,45.097656,42.460938,,2.636718,YES,,,,,,
308,-4.912109,-4.912109,,0,YES,,,,YES,YES,
310,1.943359,2.998047,,1.054688,YES,,,,YES,YES,
311,-0.253906,-2.626953,,2.373047,YES,,,,YES,YES,
312,55.820312,57.226562,,1.40625,YES,,,,,,
313,0.888672,0.493164,,0.395508,YES,,,,YES,YES,
314,1.152344,-3.769531,,4.921875,YES,,,,YES,YES,
315,-1.396484,-1.791992,,0.395508,YES,,,,YES,YES,
316,-0.517578,-1.572266,,1.054688,YES,,,,YES,YES,
317,1.064453,1.152344,,0.087891,YES,,,,YES,YES,
318,-0.166016,-0.297852,,0.131836,YES,,,,YES,YES,
320,-4.824219,3.261719,,8.085938,YES,,,,YES,YES,
321,2.470703,2.998047,,0.527344,YES,,,,YES,YES,
322,2.910156,2.910156,,0,YES,,,,YES,YES,
323,2.910156,2.998047,,0.087891,YES,,,,YES,YES,
324,-4.912109,-4.824219,,0.08789,YES,,,,YES,YES,
325,0.800781,-2.539062,,3.339843,YES,,,,YES,YES,
326,0.405273,0.668945,,0.263672,YES,,,,YES,YES,
327,1.767578,1.28418,,0.483398,YES,,,,YES,YES,
328,1.152344,-1.660156,,2.8125,YES,,,,YES,YES,
329,-4.824219,10.292969,,15.117188,YES,,,,YES,YES,
330,-1.660156,-1.791992,,0.131836,YES,,,,YES,YES,
331,1.855469,6.074219,,4.21875,YES,,,,YES,YES,
332,-1.396484,-0.341797,,1.054687,YES,,,,YES,YES,
333,0.361328,-4.033203,,4.394531,YES,,,,YES,YES,
334,-1.044922,-0.297852,,0.74707,YES,,,,YES,YES,
335,0.449219,-2.802734,,3.251953,YES,,,,YES,YES,
336,1.855469,2.998047,,1.142578,YES,,,,YES,YES,
337,1.152344,-2.451172,,3.603516,YES,,,,YES,YES,
338,-4.384766,-2.802734,,1.582032,YES,,,,YES,YES,
339,-4.384766,-3.374023,,1.010743,YES,,,,YES,YES,
340,-0.957031,2.998047,,3.955078,YES,,,,YES,YES,
341,0.800781,1.152344,,0.351563,YES,,,,YES,YES,
342,6.074219,13.105469,,7.03125,YES,,,,YES,YES,
344,0.888672,0.712891,,0.175781,YES,,,,YES,YES,
345,27.958984,14.599609,,13.359375,YES,,,,,YES,
346,42.285156,19.785156,,22.5,,,,,,YES,
347,1.064453,0.888672,,0.175781,YES,,,,YES,YES,
348,0.712891,1.108398,,0.395507,YES,,,,YES,YES,
349,1.943359,1.679688,,0.263671,YES,,,,YES,YES,
350,0.537109,0.668945,,0.131836,YES,,,,YES,YES,
352,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
353,36.132812,-4.824219,,40.957031,,,,,,YES,
