Event Index Number,Depth with STAR (km),Ho_etal_2026_plus_STAR_reloc_depth_km,Ho_etal_plus_STAR_IDE_events,Wei_plus_STAR_shallow_events,
363,-4.824219,139.842773,YES,YES,Retain IDE
366,-4.824219,123.479492,YES,YES,Retain IDE
370,-4.648438,115.505859,YES,YES,Retain IDE
377,-4.824219,131.141113,YES,YES,Retain IDE
378,-4.824219,120.567383,YES,YES,Retain IDE
391,-4.912109,122.196777,YES,YES,Retain IDE
394,-4.648438,71.616211,YES,YES,Retain IDE
396,-4.824219,117.655273,YES,YES,Retain IDE
397,-4.648438,141.680176,YES,YES,Retain IDE
402,-4.824219,113.217773,YES,YES,Retain IDE
406,-4.912109,113.633789,YES,YES,Retain IDE
410,-4.824219,128.887695,YES,YES,Retain IDE
412,-4.824219,123.271484,YES,YES,Retain IDE
418,-4.824219,105.729492,YES,YES,Retain IDE
419,-4.824219,72.725586,YES,YES,Retain IDE
426,-4.824219,71.754883,YES,YES,Retain IDE
427,-4.824219,124.831543,YES,YES,Retain IDE
431,-4.824219,119.388672,YES,YES,Retain IDE
437,-4.824219,125.975586,YES,YES,Retain IDE
443,-4.824219,129.373047,YES,YES,Retain IDE
444,-4.824219,122.786133,YES,YES,Retain IDE
445,-4.824219,122.855469,YES,YES,Retain IDE
448,-4.824219,125.836914,YES,YES,Retain IDE
454,-4.824219,120.290039,YES,YES,Retain IDE
510,-4.648438,131.106445,YES,YES,Retain IDE
512,-4.824219,79.65918,YES,YES,Retain IDE
515,-4.648438,87.84082,YES,YES,Retain IDE
522,-4.824219,73.626953,YES,YES,Retain IDE
523,-4.648438,136.098633,YES,YES,Retain IDE
524,-4.648438,138.525391,YES,YES,Retain IDE
525,-4.824219,80.075195,YES,YES,Retain IDE
526,-4.824219,123.202148,YES,YES,Retain IDE
533,-4.824219,111.831055,YES,YES,Retain IDE
536,-4.648438,124.450195,YES,YES,Retain IDE
538,-4.648438,116.961914,YES,YES,Retain IDE
554,-4.648438,143.586914,YES,YES,Retain IDE
556,-4.824219,122.231445,YES,YES,Retain IDE
569,-4.824219,139.842773,YES,YES,Retain IDE
587,-4.648438,119.319336,YES,YES,Retain IDE
589,-4.648438,143.30957,YES,YES,Retain IDE
590,-4.824219,141.645508,YES,YES,Retain IDE
593,-1.308594,95.606445,YES,YES,Retain IDE
600,-4.824219,113.772461,YES,YES,Retain IDE
602,-4.648438,116.407227,YES,YES,Retain IDE
605,-4.824219,99.211914,YES,YES,Retain IDE
609,-4.648438,140.813477,YES,YES,Retain IDE
616,-4.824219,129.581055,YES,YES,Retain IDE
618,-4.824219,119.458008,YES,YES,Retain IDE
620,-4.824219,118.90332,YES,YES,Retain IDE
622,-4.912109,114.46582,YES,YES,Retain IDE
624,-4.648438,100.806641,YES,YES,Retain IDE
629,-4.824219,108.364258,YES,YES,Retain IDE
635,-4.824219,128.541016,YES,YES,Retain IDE
645,-4.824219,123.895508,YES,YES,Retain IDE
650,-4.824219,108.225586,YES,YES,Retain IDE
651,-4.912109,93.387695,YES,YES,Retain IDE
657,-4.824219,127.362305,YES,YES,Retain IDE
659,-4.824219,117.932617,YES,YES,Retain IDE
661,-4.824219,121.81543,YES,YES,Retain IDE
672,-4.824219,134.018555,YES,YES,Retain IDE
673,-4.912109,113.911133,YES,YES,Retain IDE
675,-4.824219,119.59668,YES,YES,Retain IDE
676,-4.912109,114.049805,YES,YES,Retain IDE
677,-4.824219,130.551758,YES,YES,Retain IDE
681,-4.824219,99.523926,YES,YES,Retain IDE
800,-4.648438,121.12207,YES,YES,Retain IDE
802,-4.824219,127.223633,YES,YES,Retain IDE
813,-4.648438,115.852539,YES,YES,Retain IDE
819,-4.824219,130.482422,YES,YES,Retain IDE
837,-4.824219,92.416992,YES,YES,Retain IDE
853,-4.824219,119.59668,YES,YES,Retain IDE
883,-4.824219,106.006836,YES,YES,Retain IDE
901,-4.648438,135.405273,YES,YES,Retain IDE
902,-4.648438,137.624023,YES,YES,Retain IDE
905,-4.648438,101.291992,YES,YES,Retain IDE
919,-4.824219,119.180664,YES,YES,Retain IDE
922,-4.824219,121.954102,YES,YES,Retain IDE
940,-4.824219,111.831055,YES,YES,Retain IDE
943,-4.648438,127.223633,YES,YES,Retain IDE
1030,-4.824219,79.936523,YES,YES,Retain IDE
1031,-4.648438,188.239258,YES,YES,Retain IDE
1040,-4.824219,112.524414,YES,YES,Retain IDE
1041,-4.648438,111.415039,YES,YES,Retain IDE
1045,-4.648438,121.12207,YES,YES,Retain IDE
1047,-4.648438,86.176758,YES,YES,Retain IDE
1050,-4.648438,113.633789,YES,YES,Retain IDE
1061,-4.824219,131.245117,YES,YES,Retain IDE
